ID;SEXO;EDAD;GRADO_INSTRUCCION;GRADO_OCUPACIONAL;TIPO_CARGO;AÑOS_TRABAJANDO;GERENCIA;AREA;CREDIBILIDAD;RESPETO;IMPARCIALIDAD;ORGULLO;CAMARADERIA;GENERAL;CALIFICACION;SUGERENCIA;TARGET
001;Masculino;de 31 a 38 años;Instituto superior o técnico incompleto;Auxiliar Cocina / Pasteleria;Trabajador;de 1 a 3 años;Gerencia de Recursos Humanos;Cocina Central / Comedor / Eliazar (A&B);4;4.133333333;3.958333333;4.333333333;4.2;4;La gente puede ascender y cambiar de área.;Cambiaría las horas de trabajo, como en la mayoría de lugares se trabaja 8 horas aquí tenemos que estar 8.45 horas. Los 45 minutos es de Break pero la mayor parte de tiempo no vamos al descanso y esos 45 minutos no se nos reconoce y en nuestras boletas solo aparece 8 horas trabajadas diarias.;PROMOTOR
002;Masculino;22 años o menos;Secundaria o menor;Auxiliar de Ambiente (Servicios Generales);Trabajador;de 1 a 3 años;Gerencia de Recursos Humanos;Servicios Generales;4.46875;4.266666667;4.541666667;4.666666667;3.9;4.5;No indica;No indica;PROMOTOR
003;Femenino;de 23 a 30 años;Post-grado;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Recursos Humanos;No indica;5;5;4.958333333;5;5;5;El compañerismo, entusiasmo, vocación de servicio.;No indica;PROMOTOR
004;Femenino;de 31 a 38 años;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Recursos Humanos;No indica;4.59375;4.533333333;4.666666667;4.666666667;4.75;5;Servicio, diversión, la alegría que transmite.;Ver opciones de integración a nivel empresa.;PROMOTOR
005;Femenino;de 23 a 30 años;Universitaria completa;Asistente Analista;Trabajador;de 4 a 6 años;Gerencia de Recursos Humanos;No indica;4.0625;4.366666667;4;4.277777778;4.5;4.5;No indica;No indica;PROMOTOR
006;Masculino;de 23 a 30 años;Post-grado;Asistente Analista;Trabajador;menos de 1 año;Gerencia de Recursos Humanos;No indica;4.625;4.666666667;4.75;4.555555556;5;5;La unión y el compañerismo.;Mayor integración entre áreas.;PROMOTOR
007;Masculino;de 39 a 45 años;Instituto superior o técnico completo;Asistente Analista;Trabajador;de 7 a 9 años;Gerencia de Recursos Humanos;No indica;3.96875;3.9;3.625;4;4;4;La unión entre trabajadores y todos se identifican con la empresa.;No indica;NEUTRO
008;Masculino;de 46 años o más;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);de 10 a 15 años;Gerencia de Recursos Humanos;No indica;4.59375;4.8;4.833333333;4.722222222;4.7;5;Ahora se nota otro ambiente, es su gente lo que hace especial.;Mayor trabajo en equipo con áreas.;PROMOTOR
009;Masculino;de 23 a 30 años;Post-grado;Encargado;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Recursos Humanos;No indica;4.84375;4.6;4.375;4.611111111;4.5;5;No indica;No indica;PROMOTOR
010;Femenino;de 31 a 38 años;Universitaria completa;Jefe / Sub Jefe;Jefaturas (Jefe, Supervisor, Encargados);menos de 1 año;Gerencia de Recursos Humanos;No indica;4.625;4.366666667;4.75;4.944444444;4.95;5;Camaradería, sabes que somos los mejores en el rubro y yo pertenezco a él.;Comunicación efectiva de líderes a subordinados, buscando asegurarse que la información se comprenda, en tienda y genere cercanía con los demás.;PROMOTOR
