pais_provincia;rooms_prom;bedrooms_prom;bathrooms_prom;rooms_mayor_bedrooms;rooms_mayor_bathrooms;bedrooms_mayor_bathrooms;area_min;area_prom;area_max;area_desv;precio_min;precio_prom;precio_max;precio_desv
Argentina_Capital Federal;3;2;1;8;61;435;13;72;347;55;10,800;239,223;3,450,000;328,916
Argentina_Neuquén;3;2;1;1;0;2;16;65;256;37;42,000;154,504;2,600,000;215,556
Colombia_Cundinamarca;3;3;3;0;1084;1084;10;114;344;64;17,121;192,390;2,339,664;168,686
Colombia_Bolívar;3;3;2;0;9;9;40;119;330;68;39,912;189,084;767,960;159,763
Argentina_Bs.As. G.B.A. Zona Norte;3;2;1;1;2;172;10;67;300;33;12,322;172,537;2,350,000;139,990
Argentina_Buenos Aires Interior;3;1;1;0;0;6;20;60;260;29;13,000;106,383;1,650,000;136,677
Colombia_Magdalena;3;3;3;0;15;15;32;126;297;68;31,654;176,218;545,004;136,273
Argentina_Santa Fe;3;1;1;1;0;49;18;58;320;37;6,009;118,066;1,900,000;130,469
Argentina_Misiones;4;2;2;0;0;1;40;90;187;41;50,000;136,308;428,000;113,279
Argentina_Bs.As. G.B.A. Zona Sur;3;2;1;0;0;13;12;60;240;30;15,000;110,456;680,000;86,117
Argentina_Buenos Aires Costa Atlántica;2;1;1;6;6;193;16;53;250;28;21,000;104,771;980,000;76,668
Argentina_Mendoza;4;2;1;0;0;3;25;76;245;39;23,000;94,274;390,000;74,362
Argentina_Chubut;4;2;1;0;0;0;41;76;112;29;60,000;143,750;230,000;70,163
Colombia_Valle del Cauca;3;3;2;0;272;272;14;96;345;52;7,707;83,494;660,611;67,024
Colombia_Antioquia;3;3;2;0;168;168;18;90;347;43;16,515;97,181;914,401;65,435
Colombia_Atlántico;3;3;2;0;286;286;30;108;344;54;13,763;98,419;828,009;65,193
Argentina_Río Negro;3;2;1;0;0;0;29;63;169;26;33,000;128,521;390,000;63,989
Argentina_Córdoba;3;2;1;0;0;6;12;60;300;29;10,900;83,575;600,000;59,603
Colombia_Risaralda;3;3;2;0;20;20;29;96;346;45;22,020;79,910;495,458;56,415
Colombia_Santander;3;3;2;0;4;4;28;85;300;43;17,892;61,398;379,851;55,233
Colombia_Norte de Santander;3;3;3;0;8;8;43;89;225;45;15,139;65,978;253,234;51,947
Argentina_Bs.As. G.B.A. Zona Oeste;2;1;1;0;0;19;12;54;325;30;16,000;91,013;550,000;50,120
Colombia_Tolima;3;3;2;0;1;1;37;78;212;34;23,534;72,238;239,472;46,102
Argentina_Tucumán;3;2;2;0;0;0;80;90;100;14;60,000;90,000;120,000;42,426
Colombia_Meta;2;2;1;0;0;0;36;52;85;28;57,528;79,640;123,865;38,300
Argentina_Salta;3;2;1;0;0;0;25;65;100;23;23,000;83,231;150,000;35,579
Argentina_San Juan;2;1;1;0;0;0;37;52;70;17;30,000;52,500;75,000;31,820
Argentina_Entre Ríos;3;1;1;0;0;0;32;56;120;18;42,000;78,328;155,000;29,123
Argentina_Corrientes;2;2;2;0;0;0;84;84;84;0;42,000;78,328;155,000;29,123
Colombia_Quindío;3;3;2;0;0;0;39;73;277;37;17,892;49,351;165,153;28,979
Colombia_Boyacá;3;3;2;0;0;0;43;90;156;36;35,783;63,702;93,587;20,563
Argentina_Chaco;5;3;2;0;0;0;71;76;80;6;70,000;84,000;98,000;19,799
Colombia_Huila;3;3;2;0;0;0;47;83;104;25;41,821;57,350;77,071;16,500
Argentina_Jujuy;4;2;2;0;0;0;72;72;72;0;110,000;110,000;110,000;0
Argentina_San Luis;2;2;1;0;0;0;20;43;55;20;15,500;15,500;15,500;0
Colombia_Cauca;3;3;2;0;0;0;74;74;74;0;68,814;68,814;68,814;0
Colombia_Córdoba;3;3;1;0;0;0;40;40;40;0;44,041;44,041;44,041;0
