provincia_departamento;indicador
Capital Federal;15
Bs.As. G.B.A. Zona Norte;11
Neuquén;9
Chubut;9
Misiones;8
Río Negro;8
Santa Fe;7
Bs.As. G.B.A. Zona Sur;7
Jujuy;7
Buenos Aires Interior;6
Buenos Aires Costa Atlántica;6
Mendoza;6
Bs.As. G.B.A. Zona Oeste;5
Tucumán;5
Chaco;5
Córdoba;1
Salta;5
Entre Ríos;5
San Juan;3
San Luis;1
Cundinamarca;4
Bolívar;4
Magdalena;4
Atlántico;2
Antioquia;2
Valle del Cauca;1
Risaralda;1
Meta;1
Tolima;1
Cauca;1
Norte de Santander;1
Boyacá;1
Santander;1
Huila;1
Quindío;1
