ciudad;indicador2
Palermo;32261
Recoleta;21147
Puerto Madero;16344
Rosario;13814
Belgrano;13138
Mar del Plata;11542
Barrio Norte;7315
Tigre;7062
Almagro;6549
Caballito;5457
Villa Crespo;5246
Vicente López;2947
Balvanera;2882
Retiro;2785
Nuñez;2592
San Isidro;2242
La Plata;2225
Las Cañitas;2015
Córdoba;1915
Pilar;1881
Villa Urquiza;1546
La Matanza;1429
Flores;1299
San Nicolás;1293
San Telmo;1197
Congreso;1136
Monserrat;1131
Quilmes;1013
Parque Centenario;1000
Morón;946
Colegiales;934
Pinamar;916
General San Martín;898
Centro / Microcentro;897
Tres de Febrero;878
Once;870
San Cristobal;844
Neuquén;802
Villa del Parque;783
San Miguel;705
Villa Devoto;693
Bahía Blanca;690
Lanús;672
Santa Fe;643
Confluencia;606
Avellaneda;589
Barracas;581
Boedo;578
Chacarita;546
Escobar;539
Lomas de Zamora;499
Tribunales;445
Coghlan;444
San Fernando;426
Paternal;426
San Carlos de Bariloche;397
Villa Carlos Paz;394
Saavedra;387
Parque Chacabuco;382
Floresta;373
Villa Luro;358
Berazategui;340
Abasto;313
Constitución;298
Villa Lugano;296
Liniers;281
Villa Gesell;261
Mendoza;243
Villa Pueyrredón;242
General Roca;231
Monte Hermoso;226
Villa Ortuzar;211
Moreno;210
Ituzaingó;209
Ezeiza;202
Parque Patricios;200
Boca;175
Monte Castro;165
Cipolletti;162
San Martín de los Andes;145
Godoy Cruz;142
Tandil;139
Mataderos;133
Posadas;114
Olavarría;111
Merlo;111
Punilla;106
Parque Chas;104
Pompeya;93
San Lorenzo;92
Versalles;88
Lácar;84
Añelo;79
Miramar;77
Villa La Angostura;77
Villa General Mitre;73
San Bernardo;68
Villa Santa Rita;68
Esteban Echeverría;68
Salta;65
Agronomía;62
Malvinas Argentinas;61
Valeria del Mar;59
Gualeguaychú;45
Villa Real;45
General Rodríguez;43
José C Paz;43
Velez Sarsfield;41
Parque Avellaneda;39
Luján;39
Lobos;35
Villa Soldati;35
Exaltación de la Cruz;35
Villa Cerro Catedral;33
Almirante Brown;32
Mar de Ajó;29
General Pueyrredón;27
Las Grutas;27
Hurlingham;27
General Belgrano;25
Escalante;24
Plottier;23
Paraná;23
Esperanza;22
San Vicente;21
Pergamino;21
Río Cuarto;19
Luján de Cuyo;18
Santa Teresita;18
Chacras de Coria;18
Colón;16
Ostende;16
San Miguel del Monte;16
Necochea;15
Malargüe;15
Junín;15
Costa del Este;13
Mar del Tuyú;12
Roldán;12
Santo Tomé;11
Yerba Buena;11
Resistencia;10
Campana;10
Villa General Belgrano;9
Granadero Baigorria;9
Villa Allende;9
Mercedes;9
Puerto Madryn;8
General Madariaga;7
San Clemente del Tuyú;7
General Fernández Oro;7
San Salvador de Jujuy;7
Villa Riachuelo;6
Villa Constitución;6
Concordia;5
Rafaela;5
San Juan;4
Carrodilla;4
Rincón de los Sauces;4
Acambuco;4
Maipú;4
Azul;4
Santa Clara del Mar;4
Villa María;4
Trelew;3
Tres Arroyos;3
Allen;3
Río Tercero;3
Mar Chiquita;2
Ensenada;2
Balcarce;2
Berisso;2
Las Heras;2
Rivadavia;1
San Francisco del Monte de Oro;1
Bogotá D.C;39432
Cali;8964
Barranquilla;8761
Medellín;5106
Envigado;2899
Bello;1252
Pereira;749
Sabaneta;666
Cartagena;509
Chía;417
Santa Marta;364
Bucaramanga;311
Cabrera;273
Itagui;246
Jamundí;188
Cajicá;152
Puerto Colombia;147
Los Patios;132
La Estrella;130
Armenia;126
Mosquera;114
Rionegro;76
Copacabana;75
Ibagué;72
Zipaquirá;51
Floridablanca;44
Soledad;40
Palmira;39
Girardot;39
Madrid;35
Ricaurte;33
Soacha;28
Marinilla;26
Juan de Acosta;25
La Calera;22
Piedecuesta;21
Tunja;18
Fusagasugá;16
Guarne;15
Cota;12
Buenaventura;12
Sopó;10
Agua de Dios;9
Santafé de Antioquia;9
Neiva;9
Yumbo;9
La Ceja;8
Tabio;8
Acacías;7
Girón;7
Melgar;7
San Martín;7
San Luis;6
Funza;5
La Vega;5
Abejorral;5
Gachancipá;4
Duitama;4
Popayán;4
Chiquinquirá;4
Villa del Rosario;4
Santa Rosa de Cabal;4
Barrancabermeja;4
Anapoima;3
El Carmen de Viboral;3
Barbosa;3
Tocancipá;3
Pueblo Nuevo;2
Girardota;2
Marsella;2
San Gil;1
Curití;1
Tuluá;1
