SEXO,UNIVERSIDAD,PERFIL,CARRERA,POSICION,ESPECIALIZACION_DATA SCIENCE,DIA_PREFERIDO
F,ULIMA,JOVEN,ADMINISTRACION,ANALISTA,NO,SABADO
M,OTROS,ADULTO,ADMINISTRACION,NULL,NO,VIERNES
M,OTROS,ADULTO,ADMINISTRACION,OTROS,NO,VIERNES
M,OTROS,ADULTO,ADMINISTRACION,OTROS,NO,VIERNES
F,SAN MARCOS,JOVEN,CIENCIAS PURAS,ESTUDIANTE,NO,SABADO
M,SAN MARCOS,JOVEN,CIENCIAS PURAS,OTROS,NO,SABADO
M,UNI,JOVEN,CIENCIAS PURAS,ESPECIALISTA,SI,VIERNES
M,ULIMA,ADULTO,ECONOMISTA,ESPECIALISTA,SI,SABADO
M,OTROS,ADULTO,ECONOMISTA,OTROS,NO,SABADO
M,SAN MARCOS,JOVEN,ECONOMISTA,ANALISTA,NO,SABADO
M,SAN MARCOS,ADULTO,ECONOMISTA,ANALISTA,NO,SABADO
M,SAN MARCOS,JOVEN,ECONOMISTA,ANALISTA,SI,SABADO
M,OTROS,JOVEN,ECONOMISTA,LIDER,NO,SABADO
M,SAN MARCOS,JOVEN,ECONOMISTA,ANALISTA,NO,SABADO
M,PUCP,ADULTO,ECONOMISTA,NULL,NO,SABADO
M,SAN MARCOS,JOVEN,ECONOMISTA,ESTUDIANTE,NO,VIERNES
F,OTROS,JOVEN,ECONOMISTA,ESPECIALISTA,SI,VIERNES
F,OTROS,JOVEN,ESTADISTICA,ANALISTA,SI,SABADO
F,SAN MARCOS,JOVEN,ESTADISTICA,OTROS,SI,SABADO
M,LA MOLINA,JOVEN,ESTADISTICA,ANALISTA,SI,SABADO
M,LA MOLINA,JOVEN,ESTADISTICA,OTROS,SI,SABADO
M,UNI,ADULTO,ESTADISTICA,ANALISTA,SI,SABADO
F,SAN MARCOS,JOVEN,ESTADISTICA,OTROS,NO,SABADO
F,LA MOLINA,JOVEN,ESTADISTICA,ESTUDIANTE,NO,SABADO
F,LA MOLINA,JOVEN,ESTADISTICA,ESTUDIANTE,NO,SABADO
M,SAN MARCOS,JOVEN,ESTADISTICA,ANALISTA,SI,SABADO
M,UNI,JOVEN,ESTADISTICA,ANALISTA,SI,SABADO
F,OTROS,ADULTO,ESTADISTICA,ANALISTA,SI,SABADO
M,LA MOLINA,JOVEN,ESTADISTICA,ESTUDIANTE,NO,SABADO
F,UNI,JOVEN,ESTADISTICA,OTROS,SI,VIERNES
M,UNI,JOVEN,ESTADISTICA,OTROS,NO,VIERNES
M,SAN MARCOS,JOVEN,ESTADISTICA,ESTUDIANTE,NO,VIERNES
M,SAN MARCOS,JOVEN,ESTADISTICA,OTROS,SI,VIERNES
M,UNI,JOVEN,ESTADISTICA,ESTUDIANTE,NO,VIERNES
M,LA MOLINA,ADULTO,ESTADISTICA,OTROS,NO,VIERNES
M,UNI,JOVEN,ESTADISTICA,ESPECIALISTA,SI,VIERNES
M,UNI,ADULTO,ESTADISTICA,ESPECIALISTA,SI,VIERNES
M,SAN MARCOS,JOVEN,ESTADISTICA,ESPECIALISTA,SI,VIERNES
M,OTROS,ADULTO,ESTADISTICA,ESPECIALISTA,NO,VIERNES
M,LA MOLINA,JOVEN,ESTADISTICA,ANALISTA,SI,VIERNES
M,UNI,ADULTO,ESTADISTICA,ANALISTA,SI,VIERNES
M,SAN MARCOS,ADULTO,ESTADISTICA,ESPECIALISTA,SI,VIERNES
M,UNI,JOVEN,ESTADISTICA,OTROS,SI,VIERNES
F,ULIMA,JOVEN,SISTEMAS,ANALISTA,SI,SABADO
M,UNI,JOVEN,SISTEMAS,ANALISTA,SI,SABADO
M,OTROS,JOVEN,SISTEMAS,ESTUDIANTE,NO,SABADO
M,SAN MARCOS,JOVEN,SISTEMAS,NULL,SI,SABADO
M,OTROS,JOVEN,SISTEMAS,ESTUDIANTE,NO,SABADO
M,OTROS,JOVEN,SISTEMAS,ANALISTA,NO,SABADO
M,OTROS,JOVEN,SISTEMAS,ESTUDIANTE,NO,SABADO
M,OTROS,ADULTO,SISTEMAS,OTROS,NO,SABADO
M,OTROS,JOVEN,SISTEMAS,ANALISTA,SI,SABADO
M,SAN MARCOS,ADULTO,SISTEMAS,ESPECIALISTA,SI,SABADO
M,OTROS,ADULTO,SISTEMAS,ANALISTA,NO,SABADO
M,SAN MARCOS,JOVEN,SISTEMAS,ANALISTA,NO,SABADO
M,PACIFICO,JOVEN,SISTEMAS,DATA SCIENTIST,NO,SABADO
M,OTROS,ADULTO,SISTEMAS,ESPECIALISTA,SI,SABADO
