provincia_ciudad;superficie;altura;habitantes;densidad;promedio;mediana;percentil25;percentil75;percentil10;percentil90
Antioquia_MedellÃ­n;382;1495;2529403;6643.39;263.2;255;236.75;298.75;219;324
Antioquia_Envigado;78.78;1575;228848;2904;301.4;308.5;261.25;337.5;248.7;343.5
Antioquia_Bello;149;1310;522264;2610.22;182.3;171;157.25;205;141.8;232
Antioquia_Sabaneta;15;1551;82375;3638.2;255.9;265;245.25;292.5;176.8;312
Antioquia_Itagui;21.09;1550;276744;11143.48;176.2;171.5;150;187.5;135;202.9
Antioquia_La Estrella;35;1775;71545;2044.14;195.9;199;187.5;208.75;178.5;220.5
Antioquia_Copacabana;70;1454;74500;1051.06;180.9;175;163.75;196;158;212
Antioquia_Rionegro;196;2130;135465;583.16;200.5;195;186.25;215;171;251
Antioquia_Marinilla;118;2120;64645;547.84;150.5;153.5;137.5;163.75;119.3;180
Antioquia_Guarne;151;2150;55121;365.04;195.9;197.5;176.25;216.75;163.5;226.5
Antioquia_SantafÃ© de Antioquia;493;500;26164;46.17;178.5;162.5;150;193.75;149.5;208
Antioquia_La Ceja;133;2200;64889;421.73;180.2;162.5;157;213.75;154.4;221
Antioquia_El Carmen de Viboral;448;2150;59416;109.54;132.9;136;115.75;143;98.7;164.7
Antioquia_Retiro;244;2175;23514;62.18;342.3;347.5;320;376;280;390
Antioquia_Abejorral;491;2275;20367;41.48;166.5;160;128.75;170;109;212
Antioquia_Barbosa;206;1300;51969;252.28;206.7;187.5;130;300;116;312.8
Antioquia_Girardota;82.56;1425;51662;718.5;182.8;170;150;205;137.2;260
Antioquia_Caldas;135;1750;83215;610.05;164.8;166.5;149;177;142.9;190
Antioquia_SopetrÃ¡n;223;750;15053;64.81;232;225;200;250;195;282
AtlÃ¡ntico_Barranquilla;154;18;1274250;8274.35;248.7;250;242.5;267.75;210.2;272.4
AtlÃ¡ntico_Puerto Colombia;93;1;48070;364.32;257.2;252.5;231.25;285;217;303
AtlÃ¡ntico_Soledad;67;5;666109;6802.93;129.5;120;111.25;155;105;160
AtlÃ¡ntico_Juan de Acosta;176;70;17487;80.59;423.4;460;350;478;350;479
BolÃ­var_Cartagena;609.1;2;1028736;1811.91;175;157.5;142.5;178.25;131.5;271.9
BoyacÃ¡_Tunja;121.49;2822;179263;1519.18;182;172.5;150;203.75;142;235
BoyacÃ¡_Duitama;266.93;2530;126670;474.54;141.7;141;140;145;109;171.5
BoyacÃ¡_ChiquinquirÃ¡;133;2556;66203;490.78;279;260;260;350;150;375
CÃ³rdoba_Pueblo Nuevo;715;108;38559;53.93;139.3;134;103.75;172.5;96.5;197.5
Cauca_PopayÃ¡n;512;1760;318059;587.57;168.1;173;153.75;186.5;138;190.8
Cundinamarca_BogotÃ¡ D.C;2640;1775;7743955;4907.45;255.2;289.5;214.75;297.25;154.5;298
Cundinamarca_ChÃ­a;79;2564;145752;1223.7;191.6;181.5;171.25;214.5;164.5;224.1
Cundinamarca_Mosquera;107;2516;82750;853.1;205.7;215;195.75;234;156;240
Cundinamarca_CajicÃ¡;51;2558;56875;1221.21;199.7;190.5;176.25;225;165.9;261
Cundinamarca_ZipaquirÃ¡;197;2650;196409;1012.42;152.2;145;132;171.25;130;180.9
Cundinamarca_Soacha;184.45;2565;533718;5409.07;116.7;112.5;96.25;124;89.5;153
Cundinamarca_Girardot;129;326;106283;1022.31;137.5;132.5;119;159.75;112.9;168
Cundinamarca_Madrid;121;2554;77627;666.3;140.3;142.5;138.25;146.5;120;150.1
Cundinamarca_Ricaurte;130;284;9441;72.92;148.4;148.5;128.75;165.25;118;179.1
Cundinamarca_Cabrera;84;400;10995;130.89;1450.5;1600;1193.75;1737.5;898;1800
Cundinamarca_FusagasugÃ¡;239;1765;139805;584.96;188.7;175;170;222.5;166;232.3
Cundinamarca_GachancipÃ¡;44;2568;14442;328.23;124.2;120;110;133.75;105;138.5
Cundinamarca_SopÃ³;111.5;2587;26769;260;242.9;215;165;337.5;148.2;367.3
Cundinamarca_La Calera;485;2746;27527;418.96;207.5;180;170;250;159;290.5
Cundinamarca_Tabio;74.5;2569;27033;396.41;218.6;240;165;255;160;268
Cundinamarca_Cota;55;2566;24196;490.55;236.3;235;211.25;271.25;175.2;288.5
Cundinamarca_Funza;70;2548;103509;1156.24;169.2;162.5;145;193.75;138.2;211
Cundinamarca_Agua de Dios;84;400;10995;130.89;140.5;130;112.5;148.75;97.5;176.5
Cundinamarca_TocancipÃ¡;73.51;2605;31975;144.06;180.6;191.5;142.75;203.75;119.5;235
Cundinamarca_La Vega;153.2;1230;14230;92.89;254.9;254.5;176.25;320;155;350.5
Cundinamarca_Anapoima;124.2;710;13312;107.18;184;195;150;207.5;140;214
Cundinamarca_FacatativÃ¡;158;2586;136950;7431.35;104.6;108;96.25;110;95;110.5
Huila_Neiva;1553;442;347501;203.5;130.8;124.5;120;139.75;114;148.6
Huila_Palermo;695;609;32104;8668.33;147.8;150;131.25;163.75;113;181.8
Magdalena_Santa Marta;2393.35;15;538612;1755.68;182.7;175;160.75;218.25;100.7;253
Meta_San MartÃ­n;5959;405;24670;4.01;111.8;110;92.75;117.75;85;150
Meta_AcacÃ­as;1169;498;70469;63.8;148.5;137.5;122.5;172.5;117;202
Norte de Santander_Los Patios;133;410;76524;603.27;154.7;156;104;191.5;86.7;223
Norte de Santander_Villa del Rosario;228;440;88433;306.29;114.2;120;91.25;127.25;89.4;133
QuindÃ­o_Armenia;650;1551;304314;2151.61;166.4;167.5;129;185;119.7;225
Risaralda_Pereira;702;1411;477027;841.25;221.5;227.5;202.5;247.5;165.5;276.5
Risaralda_Santa Rosa de Cabal;486;1715;110850;129.48;174;180;137.5;215;123.5;220.5
Risaralda_Marsella;149;1575;23299;156.37;151;167.5;106.25;180;89;200
Santander_Bucaramanga;162;959;607428;3587.22;223.9;245;192.5;264.75;139.5;267.5
Santander_Floridablanca;97;925;316200;2754.33;269.2;265;231;316.25;212.5;339.6
Santander_Piedecuesta;344;1005;186167;308.85;133.5;132.5;126.25;140;114.5;147
Santander_GirÃ³n;475.14;777;210403;337.59;123.3;125;96.5;143.75;91.8;157.8
Santander_Barrancabermeja;1154;75;210729;165.41;184.8;180;147.75;210;142.5;243.8
Santander_San Gil;149.5;1114;45752;364.58;124.2;111;86.25;143.75;79;178
Santander_CuritÃ­;247;1409;11899;146.5;106.4;100;85;123;79;150
Tolima_IbaguÃ©;1439;1285;541101;361.22;139;136.5;129.25;161.75;122.6;165.5
Tolima_Melgar;215.7;323;36047;189.92;170.5;165;150;191.25;140;202
Tolima_San Luis;413.54;503;19164;45.09;84;82.5;75;88.75;70;101
Valle del Cauca_Cali;564;1018;2445281;4382.05;326.5;315.5;273.25;395;249.7;416.4
Valle del Cauca_JamundÃ­;137;869;124586;168.1;164.2;137.5;127.5;171.25;122.5;270.3
Valle del Cauca_Palmira;1123;1001;310608;311.04;149.2;142.5;121;173.75;112.8;188
Valle del Cauca_Buenaventura;6078;7;423927;69.75;276;242.5;221.25;340;219;382
Valle del Cauca_Yumbo;227.89;1021;122718;376.29;128.2;125;116.25;136.5;110;146.5
Valle del Cauca_TuluÃ¡;910.55;966;218812;240.67;199.9;172;150;236.25;147;280
Bs.As. G.B.A. Zona Norte_Escobar;277;3;213619;771.19;275.1;275;222.25;334.25;183;366.3
Bs.As. G.B.A. Zona Norte_General San MartÃ­n;5.62;28;28399;5053.2;84.1;75;72.75;82.25;70.4;92.5
Bs.As. G.B.A. Zona Norte_JosÃ© C Paz;50;35;265981;5319.62;51.8;52;44.25;58.75;37.2;62
Bs.As. G.B.A. Zona Norte_Malvinas Argentinas;63;22;321833;5108.46;137.95;144.5;53625;210;44.5;227.4
Bs.As. G.B.A. Zona Norte_Pilar;355;18;81120;228.51;328.5;337.5;289;400;179.5;435.5
Bs.As. G.B.A. Zona Norte_San Fernando;24;81;69111;6.3;163.1;159.5;121.5;192.25;109.8;224.5
Bs.As. G.B.A. Zona Norte_San Isidro;102.05;15;45190;4195.9;269.4;290;206.75;328.75;163.5;336.5
Bs.As. G.B.A. Zona Norte_San Miguel;8.78;28;72992;9124;191.3;139;127.5;267.5;120;302.5
Bs.As. G.B.A. Zona Norte_Tigre;102.05;2;25982;4195.9;256.5;242.5;180;312.5;171.9;394.1
Bs.As. G.B.A. Zona Norte_Vicente LÃ³pez;33;11;270929;7955.94;220.3;220;196;237.5;173.5;259
Bs.As. G.B.A. Zona Oeste_General RodrÃ­guez;360;28;87491;188.7;39.3;39;26.25;39.75;20;45.5
Bs.As. G.B.A. Zona Oeste_Hurlingham;8.82;26;60275;6833.9;105.3;87;75.5;117.5;59;174.5
Bs.As. G.B.A. Zona Oeste_ItuzaingÃ³;23.6;28;135275;5731.99;149.5;145;117.5;175;95.4;188.5
Bs.As. G.B.A. Zona Oeste_La Matanza;325.71;15;1775816;5440.8;126.9;121;90;166.25;82.4;190
Bs.As. G.B.A. Zona Oeste_Merlo;129.33;16;528494;5929.38;102.1;82;62.5;135;54.8;185.5
Bs.As. G.B.A. Zona Oeste_MorÃ³n;12.51;26;122642;9803.5;96.9;87.5;77.5;116;66.8;135.4
Bs.As. G.B.A. Zona Oeste_Moreno;129.33;14;169506;5929.38;169.5;130;120;236.25;120;250
Bs.As. G.B.A. Zona Oeste_Tres de Febrero;45.36;26.88;343710;7577.38;130.2;127.5;87.75;175;84;181
Bs.As. G.B.A. Zona Sur_Almirante Brown;129;24;552902;4286.1;191.8;190;180;201.75;163;250.5
Bs.As. G.B.A. Zona Sur_Avellaneda;80;2;342677;20000;95.8;84.5;72.5;108.75;60;150.6
Bs.As. G.B.A. Zona Sur_Berazategui;80;22;322000;20000;178.5;147.5;125;235;115;271
Bs.As. G.B.A. Zona Sur_Esteban EcheverrÃ­a;120;17;298814;764.6;140.1;140;102.5;176.5;88.1;200
Bs.As. G.B.A. Zona Sur_Ezeiza;80;12;160219;15000;263.5;267.5;246.25;280;238.5;290
Bs.As. G.B.A. Zona Sur_La Plata;30;26;196527;26550.9;107.4;103.5;81.25;127.5;74.7;146.5
Bs.As. G.B.A. Zona Sur_LanÃºs;80;9;459263;20000;155.7;150;130;176.5;124.5;184
Bs.As. G.B.A. Zona Sur_Lomas de Zamora;20;20;296742;14837;132.2;130;115;138.75;110.6;153.9
Bs.As. G.B.A. Zona Sur_Quilmes;80;17;582943;20000;123.4;121;115.5;131.5;79.8;162
Bs.As. G.B.A. Zona Sur_San Vicente;80;25;21411;10000;198;180;157.5;246.25;147;261.5
Bs.As. G.B.A. Zona Sur_Florencio Varela;80;25;426005;20000;1314444444;126;110;155;95;168
Buenos Aires Costa AtlÃ¡ntica_Costa Azul;27.7;1;1097;4240.56;5122222222;52;48;55;43;57.6
Buenos Aires Costa AtlÃ¡ntica_Costa del Este;27.7;4;654;4240.56;149.6;138;127.5;173.75;124.5;181
Buenos Aires Costa AtlÃ¡ntica_La Lucila del Mar;1.6;18;12222;7638.75;6633333333;65;55;78;51.6;83.4
Buenos Aires Costa AtlÃ¡ntica_Mar Chiquita;27.7;1;487;4240.56;135.4;140;95;173.75;89.9;175
Buenos Aires Costa AtlÃ¡ntica_Mar de AjÃ³;27.7;6;13769;4240.56;53.6;51.5;44.25;59.75;42.2;66.5
Buenos Aires Costa AtlÃ¡ntica_Mar del Plata;79.48;25;656456;8259.4;115.4;115;85.75;133.75;75.4;150
Buenos Aires Costa AtlÃ¡ntica_Mar del TuyÃº;27.7;4;8070;4240.56;44.9;46;35;52.5;32.9;56
Buenos Aires Costa AtlÃ¡ntica_Miramar;27.7;17;29433;4240.56;57.1;58;48.5;60;39.7;80
Buenos Aires Costa AtlÃ¡ntica_Monte Hermoso;27.7;24;7167;4240.56;104.6;92.5;81.25;113;76.8;157
Buenos Aires Costa AtlÃ¡ntica_Necochea;49.1;16;73557;1498.1;80.8;72.5;58.75;91.25;54.8;125.5
Buenos Aires Costa AtlÃ¡ntica_Ostende;27.7;14;6073;4240.56;121.6;124.5;84.25;152.5;77.6;175.4
Buenos Aires Costa AtlÃ¡ntica_Pinamar;27.7;17;45000;4240.56;100.7;87.5;77.5;121.75;71.5;132
Buenos Aires Costa AtlÃ¡ntica_San Bernardo;4.33;8;8133;1878.29;58.4;61;46.25;67.25;41.8;71.2
Buenos Aires Costa AtlÃ¡ntica_San Clemente del TuyÃº;27.7;3;12126;4240.56;83.6;70;48.75;92.5;39.6;150.5
Buenos Aires Costa AtlÃ¡ntica_Santa Clara del Mar;4;4;7713;1928.25;83;70;61.75;108.25;59.5;120.5
Buenos Aires Costa AtlÃ¡ntica_Santa Teresita;27.7;4;15213;4240.56;42.7;42.5;40;45;35;47.8
Buenos Aires Costa AtlÃ¡ntica_Valeria del Mar;27.7;7;3156;4240.56;134.3;125;117.75;151.25;93.3;198.2
Buenos Aires Costa AtlÃ¡ntica_Villa Gesell;27.7;8;31730;4240.56;81.6;63;53.5;83.25;51.8;147.5
Buenos Aires Interior_Azul;2453.19;137;55728;467.41;43.5;45;35;54.25;29;55
Buenos Aires Interior_BahÃ­a Blanca;2247;20;299101;133.98;96.8;91;60.25;131.25;48.6;165
Buenos Aires Interior_Balcarce;4120;112;38823;9.42;52.7;50;44;61.25;35;67
Buenos Aires Interior_Berisso;2453.19;6;101123;467.41;60;56;39.25;78.75;32;91
Buenos Aires Interior_Campana;2453.19;20;88860;467.41;115.8;110;78.5;160;64;170
Buenos Aires Interior_Ensenada;2453.19;4;55629;467.41;46.4;46;35.5;58.75;34.5;60
Buenos Aires Interior_ExaltaciÃ³n de la Cruz;662;37;29805;45.02;85.7;74.5;68;110;67.6;115
Buenos Aires Interior_General Belgrano;2453.19;19;15394;467.41;98.2;98;84;107.5;79;125
Buenos Aires Interior_General Madariaga;2964;3;19747;6.63;97.9;98.5;82.5;120.5;60;126
Buenos Aires Interior_General PueyrredÃ³n;1460;94;656456;424;77.9;70;54.25;95;49.5;111.7
