ID,ZONA_LIMA,VEHICULO_TIPO,VEHICULO_GAMA,PERSONA_SEXO,TARJETAS_NUMERO,PERSONA_EDAD,VEHICULO_EDAD
e620ee775b988a24ae0ac71b557b997f,ESTE,AUTOMOVIL,ESTANDAR,M,4,46,7
4c50bd2d20dacf1c5fcdca54cb9ada1f,ESTE,CAMIONETA,ESTANDAR,M,3,40,3
a49c9a929eb8c6da2ee9616dcf9a69c4,MODERNA,CAMIONETA,ESTANDAR,M,3,37,2
e6374964f27da1ef8814ed2a338228e3,MODERNA,CAMIONETA,ESTANDAR,M,4,42,9
cff91cefda509a9cb975513968af406f,MODERNA,AUTOMOVIL,PERSONALIZADO,M,1,37,10
458e0864986b50b4b1b6abf82336c206,SUR,CAMIONETA,ESTANDAR,M,5,37,10
d3c3d1fa36353708785b0099ffb2f123,MODERNA,AUTOMOVIL,ESTANDAR,M,3,57,19
38609115e598b3cee19d7a0259628aa3,MODERNA,AUTOMOVIL,PERSONALIZADO,M,1,42,17
2d98588f454b3944af7bcf141a8ccb50,CENTRO,AUTOMOVIL,ESTANDAR,F,4,37,8
719a08c5e0a047b1448fbd230691816f,MODERNA,CAMIONETA,ESTANDAR,F,2,37,1
a3782e8d67e74a3805bb426fe7f69b37,ESTE,AUTOMOVIL,ESTANDAR,M,4,63,9
bdcb5155629bbfcca3583189270db3c2,MODERNA,AUTOMOVIL,PERSONALIZADO,F,1,27,2
45215795631b449651db3c58c68fc13f,CENTRO,AUTOMOVIL,ESTANDAR,F,6,50,8
e645989494bff7a1a212103e31dd484d,MODERNA,CAMIONETA,ESTANDAR,F,3,46,5
50e553460c373857625b8b9dd8a7f57a,MODERNA,AUTOMOVIL,PERSONALIZADO,M,1,50,13
c705cf037b84d0a43bb975bab94f65ec,CENTRO,AUTOMOVIL,ESTANDAR,M,5,47,8
48af5e05c5473f22574a40789b2d85d7,CENTRO,AUTOMOVIL,ESTANDAR,F,3,49,10
0f38ef73e6cd770187343b423c8a187b,ESTE,CAMIONETA,ESTANDAR,M,2,60,7
55cb02fe7785372e464069553b00e7e5,MODERNA,AUTOMOVIL,ESTANDAR,F,4,54,10
0895f8951333c7b50cb4d0909320a74d,MODERNA,CAMIONETA,PERSONALIZADO,M,1,36,7
8e8b34158418ca5d323dbe5a21d9ef31,MODERNA,CAMIONETA,ESTANDAR,M,3,42,15
17bbc6b34ae116b21f9e9987f5f48397,MODERNA,AUTOMOVIL,ESTANDAR,M,3,62,23
176df5aa7bfb038d9e0faa19de8c63c9,ESTE,CAMIONETA,ESTANDAR,M,5,43,6
6fa49574add05d714df69d40db9b6e79,MODERNA,AUTOMOVIL,ESTANDAR,F,5,31,3
63c14bf58f5ade5bf66e2fb5279269bc,ESTE,CAMIONETA,PERSONALIZADO,M,1,32,3
8c7443b37df5693e45a1296703152687,CENTRO,AUTOMOVIL,ESTANDAR,F,1,63,21
11a7c68b7204b50c93790018295ba01b,MODERNA,AUTOMOVIL,PERSONALIZADO,M,2,63,6
bbe6a3674d0d2da8dc55d949627c3dfa,MODERNA,CAMIONETA,PERSONALIZADO,F,5,41,7
83d36389586f858ebdbf33f2f17e7ad7,MODERNA,AUTOMOVIL,PERSONALIZADO,M,1,64,10
d4ca8e3431df7800acd94046b52ea53c,MODERNA,AUTOMOVIL,ESTANDAR,M,5,65,8
c79dc559a42a57f50fbd4d827097456f,MODERNA,AUTOMOVIL,ESTANDAR,F,2,38,7
b3b38b38cdafd22cdaac7091aedebf7b,MODERNA,AUTOMOVIL,ESTANDAR,M,2,69,6
4b6165bfb19626cbdb1202b437d6341f,ESTE,AUTOMOVIL,ESTANDAR,F,4,29,8
9007e3f89499f56f8cf0eba7d452e242,MODERNA,AUTOMOVIL,ESTANDAR,M,1,65,33
a2704f4a7d0ed1d8cdd2889e6aec7dad,MODERNA,AUTOMOVIL,ESTANDAR,M,3,46,3
f563dbc58accef3b3f8a561b6073b2c1,MODERNA,AUTOMOVIL,ESTANDAR,M,4,56,14
