ID,ZONA_LIMA,VEHICULO_TIPO,VEHICULO_GAMA,PERSONA_SEXO,TARJETAS_NUMERO,PERSONA_EDAD,VEHICULO_EDAD
332b1d555753e0a4fa8004edbff46967,CENTRO,CAMIONETA,ESTANDAR,M,5,49,8
87d9c7e8ce8687ef6aa080cfe7240acc,MODERNA,AUTOMOVIL,ESTANDAR,M,3,55,10
ddde06fcf7365a5492eb6c456ff1c8e3,MODERNA,AUTOMOVIL,ESTANDAR,M,2,31,6
9d2815ada0152106b6a9323e9d831fd1,MODERNA,AUTOMOVIL,ESTANDAR,M,2,44,15
93f69f8b816fca83d8285f675e272b51,MODERNA,AUTOMOVIL,ESTANDAR,F,4,45,6
b094f41508ac124d4409679e68fac451,MODERNA,AUTOMOVIL,PERSONALIZADO,F,3,34,0
3ffa40db1b2f67c1c7933a0a225a33b9,MODERNA,AUTOMOVIL,ESTANDAR,M,5,71,22
62b751de7979792b9e90a10b78901285,MODERNA,AUTOMOVIL,ESTANDAR,M,5,53,25
e38332c37ae90de2d0400869273990b9,MODERNA,CAMIONETA,ESTANDAR,M,8,60,13
0bb3a6cc665aec88d03f830f93612d7e,MODERNA,CAMIONETA,PERSONALIZADO,F,5,47,18
605e60be7d91ad43975ca1363d0da898,MODERNA,CAMIONETA,ESTANDAR,M,4,49,8
3dba64b7aa0c478b0c9f5e0daad662ec,MODERNA,CAMIONETA,PERSONALIZADO,F,5,73,8
294c38bc01142b42f41af20741351119,CENTRO,AUTOMOVIL,ESTANDAR,M,5,46,10
8baf67c073ce880b343fe4f22ff5132b,NORTE,CAMIONETA,ESTANDAR,M,2,51,0
f84568e175b5ac26c2489917d9b6b2ad,MODERNA,AUTOMOVIL,PERSONALIZADO,M,3,59,36
0a4f12e15a087baa85a79b45a9cbc30e,ESTE,AUTOMOVIL,ESTANDAR,M,1,49,21
9609e2d67db06d2726e043dc4a1ec976,MODERNA,CAMIONETA,PERSONALIZADO,M,6,60,18
fc967914c9c670684dc9dd4e8bd12df2,MODERNA,AUTOMOVIL,ESTANDAR,F,5,41,13
c92617cd9734ebbeb1c71b39b2e46476,MODERNA,CAMIONETA,PERSONALIZADO,M,3,65,1
